zone_id,population_2021_area_allocated,households_2021_area_allocated,gtfs_stop_count,employment,activity_proxy
1,564.0,288.0,0,unknown,population only; no jobs evidence
2,402.0,175.0,1,unknown,population only; no jobs evidence
3,907.0,376.0,2,unknown,population only; no jobs evidence
4,733.0,360.0,0,unknown,population only; no jobs evidence
5,1047.0,422.0,8,unknown,population only; no jobs evidence
6,1223.0,523.0,0,unknown,population only; no jobs evidence
7,554.0,291.0,3,unknown,population only; no jobs evidence
8,625.0,251.0,1,unknown,population only; no jobs evidence
9,809.0,322.0,1,unknown,population only; no jobs evidence
10,688.0,300.0,2,unknown,population only; no jobs evidence
11,2380.971417,979.203390492232,6,unknown,population only; no jobs evidence
12,808.404432,302.26525355005447,8,unknown,population only; no jobs evidence
13,765.0,370.0,0,unknown,population only; no jobs evidence
14,1229.062601,518.8557685130481,8,unknown,population only; no jobs evidence
15,524.0,277.0,0,unknown,population only; no jobs evidence
16,422.0,206.0,2,unknown,population only; no jobs evidence
17,2152.0,844.0,0,unknown,population only; no jobs evidence
18,1252.0,393.0,1,unknown,population only; no jobs evidence
19,613.0,239.0,2,unknown,population only; no jobs evidence
20,957.0,367.0,6,unknown,population only; no jobs evidence
21,805.0,346.0,3,unknown,population only; no jobs evidence
22,483.0,245.0,4,unknown,population only; no jobs evidence
23,572.0,238.0,5,unknown,population only; no jobs evidence
24,492.0,225.0,0,unknown,population only; no jobs evidence
25,635.0,319.0,1,unknown,population only; no jobs evidence
26,689.0,235.0,4,unknown,population only; no jobs evidence
27,1031.0,470.0,4,unknown,population only; no jobs evidence
28,802.0,291.0,2,unknown,population only; no jobs evidence
29,437.0,160.0,3,unknown,population only; no jobs evidence
30,2091.0,944.0,0,unknown,population only; no jobs evidence
31,1118.0,502.0,2,unknown,population only; no jobs evidence
32,425.0,178.0,0,unknown,population only; no jobs evidence
33,929.0,364.0,4,unknown,population only; no jobs evidence
34,1857.573388,806.3300303548677,3,unknown,population only; no jobs evidence
35,583.0,308.0,3,unknown,population only; no jobs evidence
36,463.0,241.0,1,unknown,population only; no jobs evidence
37,498.0,178.0,0,unknown,population only; no jobs evidence
38,315.269032,186.00287961136073,6,unknown,population only; no jobs evidence
39,119.59803,55.984674759039805,0,unknown,population only; no jobs evidence
40,337.225524,147.49791531975245,0,unknown,population only; no jobs evidence
41,580.0,256.0,1,unknown,population only; no jobs evidence
42,639.0,287.0,4,unknown,population only; no jobs evidence
43,857.0,271.0,2,unknown,population only; no jobs evidence
44,577.0,199.0,1,unknown,population only; no jobs evidence
45,560.0,220.0,2,unknown,population only; no jobs evidence
46,741.0,404.0,1,unknown,population only; no jobs evidence
47,613.0,269.0,3,unknown,population only; no jobs evidence
48,870.0,368.0,1,unknown,population only; no jobs evidence
49,502.0,170.0,0,unknown,population only; no jobs evidence
50,430.0,168.0,0,unknown,population only; no jobs evidence
51,577.0,312.0,1,unknown,population only; no jobs evidence
52,531.0,195.0,0,unknown,population only; no jobs evidence
53,589.0,208.0,0,unknown,population only; no jobs evidence
54,442.0,182.0,1,unknown,population only; no jobs evidence
55,507.0,216.0,0,unknown,population only; no jobs evidence
56,1213.0,419.0,1,unknown,population only; no jobs evidence
57,1614.0,568.0,0,unknown,population only; no jobs evidence
58,1446.0,560.0,0,unknown,population only; no jobs evidence
59,1560.0,692.0,1,unknown,population only; no jobs evidence
60,1180.0,442.0,0,unknown,population only; no jobs evidence
61,1479.0,737.0,2,unknown,population only; no jobs evidence
62,1190.0,442.0,3,unknown,population only; no jobs evidence
63,1357.0,501.0,3,unknown,population only; no jobs evidence
64,1252.0,510.0,2,unknown,population only; no jobs evidence
65,997.0,444.0,0,unknown,population only; no jobs evidence
66,799.0,343.0,0,unknown,population only; no jobs evidence
67,534.0,180.0,2,unknown,population only; no jobs evidence
68,845.0,300.0,0,unknown,population only; no jobs evidence
69,465.0,212.0,2,unknown,population only; no jobs evidence
70,402.0,124.0,0,unknown,population only; no jobs evidence
71,471.0,182.0,0,unknown,population only; no jobs evidence
72,614.0,268.0,0,unknown,population only; no jobs evidence
73,541.0,235.0,0,unknown,population only; no jobs evidence
74,751.0,336.0,0,unknown,population only; no jobs evidence
75,810.0,458.0,1,unknown,population only; no jobs evidence
76,435.0,198.0,2,unknown,population only; no jobs evidence
77,1067.0,518.0,5,unknown,population only; no jobs evidence
78,887.0,334.0,1,unknown,population only; no jobs evidence
79,744.0,336.0,1,unknown,population only; no jobs evidence
80,4170.0,1512.0,0,unknown,population only; no jobs evidence
81,807.0,337.0,3,unknown,population only; no jobs evidence
82,347.429263,133.94366586706414,1,unknown,population only; no jobs evidence
83,310.572752,137.74056712868799,0,unknown,population only; no jobs evidence
84,142.63727,31.773919756273543,1,unknown,population only; no jobs evidence
85,774.0,301.0,4,unknown,population only; no jobs evidence
86,2231.0,584.0,5,unknown,population only; no jobs evidence
87,2597.00649,666.2528984910202,1,unknown,population only; no jobs evidence
88,1021.0,362.0,4,unknown,population only; no jobs evidence
89,1425.0,720.0,9,unknown,population only; no jobs evidence
90,840.0,213.0,4,unknown,population only; no jobs evidence
91,4869.965558,1709.3464177429885,1,unknown,population only; no jobs evidence
92,2386.8542,822.2195737463092,1,unknown,population only; no jobs evidence
93,87.060897,34.331203547699296,2,unknown,population only; no jobs evidence
94,2658.196336,908.2497054520131,5,unknown,population only; no jobs evidence
95,1003.329032,447.31752671914927,3,unknown,population only; no jobs evidence
